Transaction_ID,Name,City,State,Country,Age,Gender,Income,Total_Purchases,Total_Amount,Product_Category,Product_Brand,Product_Type,Shipping_Method,Payment_Method,products
1000007,Tara Espinoza,New York,North Carolina,USA,20,Female,High,9,4049.1137,Grocery,Nestle,Coffee,Same-Day,Cash,Cappuccino
1000043,Kyle Anderson,Fort Worth,New Mexico,USA,19,Male,Low,10,2856.747531,Electronics,Apple,Smartphone,Same-Day,PayPal,OnePlus
1000073,David Perkins,Portsmouth,England,UK,20,Male,Medium,7,3024.821306,Books,Random House,Non-Fiction,Same-Day,Credit Card,Cooking
1000088,Patricia Mitchell,Saskatoon,Ontario,Canada,22,Male,Medium,3,1394.639572,Clothing,Zara,Jeans,Standard,Debit Card,Flare jeans
1000154,David Pratt,Ottawa,Ontario,Canada,46,Female,Low,9,4213.747626,Electronics,Samsung,Smartphone,Express,Cash,LG G
1000183,Sean Wood,Dallas,Connecticut,USA,36,Male,High,3,260.5966996,Home Decor,Home Depot,Furniture,Express,Credit Card,Nightstand
1000195,Christopher Rice,Perth,New South Wales,Australia,60,Female,High,3,1259.429069,Clothing,Adidas,T-shirt,Standard,Debit Card,Crop top
1000219,Tyler Bryant,Chicago,Connecticut,USA,34,Female,Medium,9,3568.024252,Clothing,Nike,Shoes,Express,Cash,High heels
1000294,Sarah Morales,Nottingham,England,UK,40,Male,High,8,1736.165076,Grocery,Coca-Cola,Water,Express,Debit Card,Bottled water
1000307,Teresa Lutz,Portsmouth,England,UK,21,Male,High,8,3610.421238,Clothing,Zara,Dress,Express,Credit Card,Cocktail dress
1000367,Sean Stone,New Orleans,South Carolina,USA,58,Male,Medium,2,513.8261046,Electronics,Samsung,Smartphone,Standard,Cash,Sony Xperia
1000383,Rodney Davis,Chicago,Connecticut,USA,34,Male,Low,10,2163.474876,Grocery,Coca-Cola,Soft Drink,Same-Day,Cash,Ginger ale
1000476,Daniel Herrera,Chicago,Oklahoma,USA,20,Female,Low,2,224.0028489,Electronics,Samsung,Tablet,Same-Day,Cash,Sony Xperia Tablet
1000502,Mary Flowers,Darwin,New South Wales,Australia,54,Male,Medium,8,818.5270431,Electronics,Sony,Headphones,Express,Cash,Gaming headphones
1000503,Monique Phelps,Cleveland,North Dakota,USA,23,Female,Low,2,801.7261671,Home Decor,IKEA,Decorations,Same-Day,PayPal,Vases
1000551,Angelica Martin,Hull,England,UK,23,Female,Medium,7,1297.024309,Home Decor,Bed Bath & Beyond,Bedding,Express,Credit Card,Comforter
1000593,Diana Medina,Bendigo,New South Wales,Australia,46,Male,High,4,142.1509514,Home Decor,IKEA,Furniture,Same-Day,PayPal,Nightstand
1000596,Adam Miles,Manchester,England,UK,70,Male,Medium,6,66.28389871,Home Decor,Home Depot,Tools,Standard,Debit Card,Level
1000601,Madeline Townsend,Belfast,England,UK,25,Female,Medium,2,215.4132056,Electronics,Samsung,Smartphone,Express,Debit Card,Xiaomi Mi
1000602,Leslie Mathews,MÃ¼nster,Berlin,Germany,49,Male,High,5,481.7428362,Home Decor,Bed Bath & Beyond,Kitchen,Standard,Debit Card,Oven
1000641,Renee Hayes,Tulsa,Alabama,USA,53,Male,Low,5,771.2741804,Home Decor,Bed Bath & Beyond,Bedding,Standard,Cash,Quilt
1000673,William Daugherty,San Francisco,Maine,USA,26,Male,High,2,794.5269366,Books,Random House,Fiction,Same-Day,PayPal,Adventure
